"General","Allgemein"
"Widget","Widget"
"Widget Type","Widget-Typ"
"CSS Class","CSS-Klasse"
"Save","Speichern"
"(no class)","(keine Klasse)"
"Please select a page designer block to import...","Bitte wählen Sie einen Page Designer-Block zum importieren aus..."
"Page Designer detected an invalid form input.","Page Designer hat ungültige Formulardaten erkannt."
"Import Static Block","Statischen Block importieren"
"Comma separated list of css classes the user can choose from in column settings dialog.","Kommaseparierte Liste von CSS-Klassen, aus denen ein Benutzer im Spalten-Einstellungsdialog wählen kann."
"Comma separated list of css classes the user can choose from in row settings dialog.","Kommaseparierte Liste von CSS-Klassen, aus denen ein Benutzer im Zeilen-Einstellungsdialog wählen kann."
"CSS Classes (for rows)","CSS-Klassen (für Zeilen)"
"CSS Classes (for columns)","CSS-Klassen (für Spalten)"
"Page Designer","Page Designer"
"Magenerds Page Designer","Magenerds Page Designer"
"Content","Inhalt"
"Column Settings","Spalten-Einstellungen"
"Row Settings","Zeilen-Einstellungen"
"Switch to responsive grid mode %s","Zum responsive Grid-Modus %s wechseln"
"Add Row","Zeile hinzufügen"
"Move Row","Zeile verschieben"
"Set settings for row","Einstellungen für Zeile setzen"
"Enter the settings for the row.","Geben Sie die Einstellungen für die Zeile ein."
"Delete row","Zeile löschen"
"Do you REALLY want to delete the whole row? This will permanently delete all content of the different columns.","Wollen Sie wirklich die ganze Zeile entfernen? Dies wird alle Spalten unwiderruflich entfernen."
"Add Column","Spalte hinzufügen"
"Move Column","Spalte verschieben"
"Set settings for column","Einstellungen für Spalte setzen"
"Enter the settings for the column.","Geben Sie die Einstellungen für die Spalte ein."
"Delete column","Spalte löschen"
"Do you really want to delete this column? You cannot undo this.","Wollen Sie wirklich die Spalte entfernen? Dies ist unwiderruflich."
"Set column content","Zellen-Inhalt setzen"
"What content to set in?","Welcher Inhalt soll gesetzt werden?"
"Copy content","Inhalte kopieren"
"Paste content","Inhalte einfügen"
"Clear content","Inhalte entfernen"
"Do you really want to clear the column's content?","Wollen Sie den Zelleninhalt wirklich entfernen?"
"Do you really want to import the selected block? Your changes will be lost!","Wollen Sie den ausgewählten Block wirklich importieren? Alle Änderungen werden verloren gehen!"
"Remove Page Designer Markup","Page Designer Markup entfernen"
